timestamp,camera_id,species,count,threat_type,alert_status
2025-02-18 19:18:39,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:40,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:41,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:42,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
2025-02-18 19:18:43,cam2,sheep,1,none,no
